EXPERIMENT_NAME,EXPERIMENTSUITE_NAME,SYSTEM_NAME,EXPERIMENT_AVERAGEEXPERIME
flink.dop320.mem14G,pagerank.dbpedia.wally,flink,28971
spark.dop320.mem14G,pagerank.dbpedia.wally,spark,84629
flink.dop320.mem14G,pagerank.flickr.wally,flink,21925
spark.dop320.mem14G,pagerank.flickr.wally,spark,53403
flink.dop160.mem14G,pagerank.twitter.wally,flink,293635
flink.dop320.mem11G,pagerank.twitter.wally,flink,223988
flink.dop320.mem14G,pagerank.twitter.wally,flink,166269
flink.dop320.mem5G,pagerank.twitter.wally,flink,1067683
flink.dop320.mem8G,pagerank.twitter.wally,flink,334096
flink.dop80.mem14G,pagerank.twitter.wally,flink,552434
spark.dop160.mem14G,pagerank.twitter.wally,spark,1685263
spark.dop320.mem11G,pagerank.twitter.wally,spark,683572
EXPERIMENT_NAME,EXPERIMENTSUITE_NAME,SYSTEM_NAME,EXPERIMENT_AVERAGEEXPERIME
spark.dop320.mem14G,pagerank.twitter.wally,spark,972518
spark.dop320.mem5G,pagerank.twitter.wally,spark,980345
spark.dop320.mem8G,pagerank.twitter.wally,spark,837488
